date,transaction_type,quantity,execution_price,currency,amount_local_currency,amount_foreign_currency
2024-11-06,משיכה,764.3,100.0,₪,0.0,0.0
2024-11-20,משיכה,26.29,100.0,₪,0.0,0.0
2024-11-21,הפקדה,359.6,100.0,₪,0.0,0.0
2024-11-24,משיכה,315.96,100.0,₪,0.0,0.0
2024-11-30,קניה שח,746.95,100.0,₪,-746.95,0.0
2024-12-05,משיכה,51.28,100.0,₪,0.0,0.0
2024-12-09,משיכה,66.23,100.0,₪,0.0,0.0
2024-12-11,משיכה,293.42,100.0,₪,0.0,0.0
2024-12-12,משיכה,158.12,100.0,₪,0.0,0.0
2024-12-16,משיכה,93.2,100.0,₪,0.0,0.0
2024-12-19,משיכה,68.26,100.0,₪,0.0,0.0
2024-12-22,משיכה,54.4,100.0,₪,0.0,0.0
2024-12-25,משיכה,38.65,100.0,₪,0.0,0.0
2024-12-26,משיכה,108.35,100.0,₪,0.0,0.0
2024-12-30,משיכה,13.84,100.0,₪,0.0,0.0
2024-12-31,קניה שח,945.75,100.0,₪,-945.75,0.0
